,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.52177,0.21555,0.08823,0.06018,0.08474,0.09664,0.06175,0.07975,0.08823,0.05977,0.04578,0.04636,0.0869,0.13286
Q1_Q3_0.25,0.52292,0.2126,0.08504,0.06387,0.09856,0.11504,0.06239,0.08189,0.08504,0.05951,0.04643,0.04572,0.08528,0.13099
Q1_Q4_0.25,0.5174,0.277,0.14927,0.09409,0.09959,0.10501,0.09605,0.12925,0.14927,0.1329,0.12155,0.12081,0.15801,0.18095
Q2_Q3_0.25,0.41077,0.37415,0.04344,0.04787,0.03832,0.04311,0.05149,0.05331,0.03223,0.08477,0.04145,0.04351,0.08567,0.11014
Q2_Q4_0.25,0.39777,0.45057,0.1978,0.11286,0.1059,0.12788,0.11179,0.16522,0.178,0.1976,0.17113,0.17165,0.21479,0.21944
Q3_Q4_0.25,0.39875,0.45311,0.20643,0.11577,0.10461,0.11076,0.11031,0.17215,0.16435,0.2072,0.17719,0.18075,0.2241,0.22931
Q1_0.25,0.55101,0.14316,0.09221,0.07044,0.09705,0.10137,0.06754,0.08431,0.09221,0.06484,0.04559,0.04371,0.08232,0.13538
Q2_0.25,0.40445,0.37738,0.04083,0.04884,0.03585,0.0389,0.05011,0.04858,0.03019,0.07733,0.03995,0.03855,0.07697,0.10643
Q3_0.25,0.41664,0.37135,0.04685,0.05217,0.03866,0.04396,0.05323,0.05537,0.03506,0.09198,0.0479,0.04761,0.09301,0.11118
Q4_0.25,0.3964,0.51327,0.27583,0.15351,0.15083,0.16774,0.14251,0.22505,0.24273,0.26238,0.23305,0.23751,0.29287,0.2931
Q1_Q2_0.5,0.52031,0.21653,0.10436,0.07753,0.07756,0.12793,0.07281,0.0989,0.06258,0.12004,0.05257,0.05181,0.08843,0.14403
Q1_Q3_0.5,0.5242,0.21218,0.09866,0.07514,0.08115,0.12537,0.07406,0.0942,0.06425,0.10233,0.05539,0.05232,0.08968,0.14027
Q1_Q4_0.5,0.51716,0.28102,0.15113,0.11709,0.1113,0.14262,0.11218,0.14258,0.09065,0.15267,0.12735,0.12828,0.16077,0.1812
Q2_Q3_0.5,0.40706,0.37598,0.04479,0.05537,0.0587,0.06245,0.06017,0.05676,0.04075,0.09202,0.05127,0.04835,0.08456,0.10862
Q2_Q4_0.5,0.39768,0.45283,0.20521,0.13298,0.12858,0.43581,0.12669,0.18605,0.20521,0.2169,0.18378,0.18573,0.21938,0.22934
Q3_Q4_0.5,0.40257,0.4532,0.2186,0.14178,0.13557,0.30651,0.12524,0.19749,0.17955,0.24925,0.1961,0.2006,0.22821,0.2392
Q1_0.5,0.54962,0.14255,0.10991,0.08686,0.08854,0.13131,0.07781,0.10275,0.06324,0.12132,0.05459,0.05448,0.08937,0.14967
Q2_0.5,0.40637,0.3777,0.04388,0.05103,0.0401,0.04287,0.05506,0.05118,0.03258,0.08043,0.04234,0.04312,0.07632,0.10975
Q3_0.5,0.40808,0.373,0.04868,0.05722,0.06688,0.07873,0.06274,0.05713,0.04229,0.09095,0.05149,0.05184,0.09367,0.11187
Q4_0.5,0.39166,0.51159,0.28669,0.17774,0.15998,0.19369,0.1688,0.25784,0.28669,0.28865,0.25362,0.26053,0.29762,0.30396
Q1_Q2_0.75,0.52111,0.21623,0.13712,0.11486,0.1041,0.15369,0.09611,0.13387,0.09503,0.20363,0.09825,0.08786,0.09251,0.16933
Q1_Q3_0.75,0.5243,0.21323,0.12909,0.11009,0.10521,0.1594,0.09443,0.12583,0.10216,0.18443,0.09784,0.08682,0.09314,0.16375
Q1_Q4_0.75,0.51537,0.27872,0.15045,0.14855,0.13082,0.17857,0.14239,0.14657,0.13461,0.16869,0.1366,0.13839,0.1612,0.18078
Q2_Q3_0.75,0.41075,0.37541,0.04735,0.06864,0.04908,0.06111,0.07485,0.0604,0.04853,0.11574,0.05509,0.05409,0.08491,0.11046
Q2_Q4_0.75,0.39697,0.45394,0.21663,0.17491,1.36786,0.53645,0.15013,0.20788,0.19589,0.26215,0.2046,0.2058,0.22427,0.23875
Q3_Q4_0.75,0.40205,0.45283,0.23203,0.18293,763.2217,2.73747,0.15317,0.22248,0.19807,0.28312,0.21586,0.21963,0.23016,0.25216
Q1_0.75,0.54818,0.14236,0.14191,0.12126,0.11018,0.16337,0.09321,0.13584,0.0957,0.20157,0.09483,0.09116,0.09402,0.17354
Q2_0.75,0.40507,0.37798,0.04729,0.05744,0.07611,0.06796,0.06525,0.05718,0.04018,0.08036,0.04639,0.04692,0.07642,0.11094
Q3_0.75,0.4137,0.37345,0.05161,0.06414,0.06111,0.07001,0.0754,0.06038,0.05019,0.10267,0.05378,0.05422,0.09278,0.11199
