,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.46333,0.29006,0.09568,0.11187,0.08758,0.08863,0.10375,0.10483,0.0886,0.09209,0.09209,0.08918,0.09562,0.13956
Q1_Q3_0.25,0.45943,0.30184,0.09303,0.11744,0.08704,0.08781,0.12588,0.10578,0.08661,0.10061,0.09245,0.08618,0.1034,0.13638
Q1_Q4_0.25,0.4541,0.36314,0.14297,0.15876,0.13161,0.13403,0.18296,0.14545,0.15146,0.1575,0.13809,0.13808,0.15172,0.17358
Q2_Q3_0.25,0.33976,0.44861,0.04308,0.10228,0.0615,0.062,0.05709,0.06255,0.05607,0.09149,0.05568,0.05843,0.08181,0.10929
Q2_Q4_0.25,0.33592,0.52794,0.17587,0.18812,0.16253,0.16197,0.16288,0.17602,0.16024,0.18735,0.17638,0.17302,0.18974,0.20219
Q3_Q4_0.25,0.33781,0.5329,0.1757,0.18191,0.16195,0.16182,0.1668,0.17631,0.15992,0.20133,0.17316,0.17357,0.18635,0.20361
Q1_0.25,0.49281,0.22447,0.10112,0.11346,0.09214,0.09308,0.09415,0.10685,0.12608,0.08376,0.09527,0.09115,0.10109,0.14219
Q2_0.25,0.34326,0.44254,0.0467,0.08707,0.05724,0.05739,0.05054,0.06418,0.04972,0.10652,0.0591,0.05786,0.08369,0.10967
Q3_0.25,0.32961,0.45261,0.04136,0.09977,0.06033,0.0598,0.05805,0.06134,0.0533,0.1061,0.05551,0.05122,0.08825,0.10857
Q4_0.25,0.3438,0.59628,0.23487,0.22736,0.21643,0.21687,0.21847,0.23526,0.21473,0.24381,0.23176,0.23359,0.24513,0.25595
Q1_Q2_0.5,0.46128,0.29269,0.10728,0.12908,0.09775,0.12754,0.22352,0.1193,0.10082,0.10736,0.10274,0.09952,0.09805,0.14804
Q1_Q3_0.5,0.45666,0.2998,0.09672,0.13813,0.10047,0.10301,0.13954,0.10832,0.11785,0.08928,0.10825,0.0899,0.09949,0.13907
Q1_Q4_0.5,0.46038,0.36153,0.14032,0.16202,0.14393,0.15002,0.15307,0.14587,0.15517,0.15888,0.13881,0.14024,0.15159,0.1719
Q2_Q3_0.5,0.33503,0.44749,0.04419,0.11792,0.07372,0.0734,0.06863,0.06544,0.06505,0.12696,0.06417,0.0608,0.0848,0.10876
