,mean,knn,mice,missforest,mf,hyper,gain,notmiwae,miwae,ot
Q1_Q2_0.25,0.82156 ± 0.002,0.83000 ± 0.004,0.72219 ± 0.001,0.75662 ± 0.002,0.79789 ± 0.002,0.73661 ± 0.003,0.77374 ± 0.016,0.89635 ± 0.068,0.88198 ± 0.037,0.85075 ± 0.002
Q1_Q3_0.25,0.81360 ± 0.002,0.82731 ± 0.002,0.72243 ± 0.001,0.76568 ± 0.004,0.79317 ± 0.002,0.74136 ± 0.003,0.79521 ± 0.014,0.91640 ± 0.049,0.93228 ± 0.067,0.84381 ± 0.003
Q1_Q4_0.25,0.88997 ± 0.002,0.87702 ± 0.003,0.75484 ± 0.001,0.79719 ± 0.001,0.84679 ± 0.003,0.75594 ± 0.002,0.88870 ± 0.022,0.99926 ± 0.056,0.92593 ± 0.035,0.91583 ± 0.001
Q2_Q3_0.25,0.76468 ± 0.002,0.78123 ± 0.003,0.71242 ± 0.002,0.76010 ± 0.002,0.77427 ± 0.003,0.73893 ± 0.002,0.76240 ± 0.008,0.86269 ± 0.031,0.83882 ± 0.039,0.80112 ± 0.004
Q2_Q4_0.25,0.86452 ± 0.003,0.85710 ± 0.004,0.74128 ± 0.004,0.79222 ± 0.003,0.83401 ± 0.002,0.75252 ± 0.003,0.85905 ± 0.024,0.93346 ± 0.048,0.93410 ± 0.022,0.89204 ± 0.003
Q3_Q4_0.25,0.85879 ± 0.002,0.85420 ± 0.003,0.74383 ± 0.003,0.80295 ± 0.002,0.83449 ± 0.003,0.75922 ± 0.002,0.83786 ± 0.040,0.92789 ± 0.038,0.96174 ± 0.050,0.88577 ± 0.002
Q1_0.25,0.81193 ± 0.003,0.80275 ± 0.002,0.70503 ± 0.001,0.74557 ± 0.003,0.77387 ± 0.003,0.73319 ± 0.003,0.75801 ± 0.015,0.84918 ± 0.023,0.89084 ± 0.029,0.82934 ± 0.004
Q2_0.25,0.76175 ± 0.002,0.76170 ± 0.002,0.69244 ± 0.002,0.73974 ± 0.003,0.75349 ± 0.003,0.73054 ± 0.003,0.73999 ± 0.003,0.86107 ± 0.041,0.82987 ± 0.038,0.78632 ± 0.003
Q3_0.25,0.74520 ± 0.002,0.76679 ± 0.001,0.69316 ± 0.002,0.75403 ± 0.003,0.75175 ± 0.002,0.73562 ± 0.002,0.75348 ± 0.020,0.85066 ± 0.024,0.85961 ± 0.023,0.77122 ± 0.003
Q4_0.25,0.85393 ± 0.002,0.82611 ± 0.004,0.71736 ± 0.002,0.77097 ± 0.002,0.80831 ± 0.001,0.74492 ± 0.003,0.79081 ± 0.026,0.86270 ± 0.035,0.91065 ± 0.047,0.87159 ± 0.002
